source_row,reading_raw,nom_raw,example_raw,note_raw,source_url
38,ấm,𤋾,"淹𤋾 êm ấm
  · 𤋾供 ấm cúng · 𤋾押 ấm áp · 𤋾頭 ấm đầu · 𤋾抑 ấm
  ức · 𤋾啞 ấm ớ","[異] 蔭

    U+242FE",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
39,ầm,𩆢,"𩆢𢮁
  ầm ừ · 𩆢𥑴 ầm ĩ · 𩆢𩆢 ầm ầm",U+291A2,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
40,ẵm,撖,"撖嬖 ẵm bế · 撖捧 ẵm
  bồng",U+6496,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
41,ẢM,黯,黯淡 ảm đạm,U+9EEF,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
42,ẨM,飲,"飲食 ẩm thực · 飲茶
  ẩm trà · 對飲 đối ẩm",U+98F2,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
43,ẩm,𤀔,"𤀔㲸 ẩm
  ướt · 曀𤀔 ế ẩm [𠸨] · 𤀔濕 ẩm thấp · 𤷴𤀔 ê
  ẩm",U+24014,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
44,ậm,𠿮,𠿮噁 ậm ạc,U+20FEE,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
45,AN,安,"安全 an toàn · 安身
  an thân · 安居樂業 an cư lạc nghiệp","[翻]

    U+5B89",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
46,ÁN,按,按禦 án ngữ,U+6309,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
47,ÁN,案,"提案 đề án · 預案 dự
  án · 破案 phá án",U+6848,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
48,ÂN,恩,"恩情 ân tình · 恩赦
  ân xá · 恩怨 ân oán · 恩惠 ân huệ · 開恩 khai ân","[翻]

    U+6069",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
49,ÂN,殷,殷勤 ân cần,U+6BB7,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
50,ăn,咹,"咹𩚵 ăn
  cơm · 咹𢵉 ăn bám · 式咹 thức ăn",U+54B9,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
51,ẤN,印,"印章 ấn chương ·
  印信 ấn tín · 印印 in ấn · 印刷 ấn loát · 印象 ấn tượng · 印度 Ấn Độ",U+5370,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
52,ấn,按,"按劕 ấn chặt ·
  按𨨷𥑂 ấn nút chai",U+6309,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
53,ẨN,隱（隐）,"隱居 ẩn cư · 隱喻 ẩn
  dụ · 隱身 ẩn thân · 歸隱 quy ẩn",U+96B1 (U+9690),https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
54,ang,坱,丐坱 cái ang,U+5771,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
55,áng,盎,"盎詩 áng thơ · 盎桃臉
  áng đào kiểm",U+76CE,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
56,ăng,𣺻,"𣺻乙 ăng
  ắc · 𣺻𣺻 ăng ẳng [聲]",U+23EBB,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
57,ắng,𠹃,"唵𠹃 im
  ắng","[翻]

    U+20E43",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
58,ẳng,𣺻,"𣺻𣺻
  ăng ẳng [聲]",U+23EBB,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
59,anh,英,"英㛪 anh em ·
  英𤳆 anh trai",U+82F1,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
60,ANH,英,"英雄 anh hùng · 㗂英
  tiếng Anh",U+82F1,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
61,anh,映,"映映 anh ánh
  [𠸨]","⇔ 映 ánh

    U+6620",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
62,ANH,罌,罌粟 anh túc,U+7F4C,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
63,anh,嚶,嚶呃 anh ách [聲],U+56B6,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
64,ANH,櫻,櫻桃 anh đào,U+6AFB,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
65,anh,鶯（𦾉）,鐄鶯 vàng anh,U+9DAF (U+26F89),https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
66,ANH,鸚,鸚鵡 anh vũ,U+9E1A,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
67,ÁNH,映,"反映 phản ánh · 映射
  ánh xạ · 映𤏬 ánh sáng · 映眜 ánh mắt",U+6620,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
68,ẢNH,影,"形影 hình ảnh · 幀影
  tranh ảnh",U+5F71,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
69,ao,坳,坳潭 ao đầm,"[異] 泑

    U+5773",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
70,ao,呦,呦約 ao ước,"[翻]

    [異] 泑

    U+5466",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
71,áo,奧,共和奧 Cộng hoà Áo,U+5967,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
72,ÁO,襖,"襖𨱽 áo
  dài · 襖縺 áo len · 襖䘹 áo lót",U+8956,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
73,ào,泑,"泑泑 ào ào ·
  泑𣿌 ào ạt · 嗢泑 ồn ào",U+6CD1,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
74,ẢO,幻,"幻夢 ảo mộng · 幻影
  ảo ảnh · 幻想 ảo tưởng · 幻術 ảo thuật · 幻覺 ảo giác · 𥊚幻 mờ ảo",U+5E7B,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
75,ẢO,懊,懊惱 ảo não,U+61CA,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
76,ÁP,押,"押解 áp giải ·
  𤋾押 ấm áp [𠸨]",U+62BC,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
77,ÁP,壓,"血壓 huyết áp · 壓倒
  áp đảo · 壓制 áp chế · 電壓 điện áp · 壓用 áp dụng","[翻]

    U+58D3",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
78,ẤP,邑,村邑 thôn ấp,"[翻]

    U+9091",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
79,ấp,𬪁,"揞𬪁 ôm ấp
  · 㥋𬪁 e ấp",U+2CA81,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
80,ắp,浥,"𣹓浥 đầy
  ắp",U+6D65,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
81,ập,𨁲,"𨁲𦤾
  ập đến",U+28072,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
82,át,遏,"𢭹遏 lấn
  át · 㲸遏 ướt át · 𡥵遏主 con át chủ [摱]","[翻]

    U+904F",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
83,ẤT,乙,"乙丑 Ất Sửu · 乙卯
  Ất Mão",U+4E59,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
84,ắt,𢖮,"𢖮沛 ắt
  phải · 𢖮𱺵 ắt là",U+225AE,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
85,ạt,𣿌,"泑𣿌 ào ạt
  · 溩𣿌 ồ ạt",U+23FCC,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
86,âu,漚,"漚船 âu thuyền ·
  漚艚 âu tàu",U+6F1A,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
87,ÂU,嫗,嫗姬 Âu Cơ,U+5AD7,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
88,ÂU,甌,"甌鐄 âu vàng ·
  甌𡊳 âu sành",U+750C,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
89,ÂU,歐,洲歐 Châu Âu,U+6B50,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
90,âu,憂,"憂掩 âu yếm ·
  𢥈憂 lo âu · 憂愁 âu sầu",U+6182,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
91,âu,謳,"謳拱 âu cũng ·
  謳！𥄬𠫾𡥵 Âu! Ngủ đi con [嘆]",U+8B33,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
92,ÂU,謳,謳歌 âu ca,U+8B33,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
93,ÂU,鷗,海鷗 hải âu,U+9DD7,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
94,ẤU,幼,苴幼 thơ ấu,U+5E7C,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
95,ẨU,毆,毆打 ẩu đả,U+6BC6,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
96,ẩu,𬏠,"𬏠𪭥
  ẩu tả",U+2C3E0,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
97,áy,曖,"曖𢖱 áy
  náy [𠸨] · 𦹯曖𣈖斜 cỏ áy bóng tà",U+66D6,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
98,ấy,𧘇,"𠊛𧘇
  người ấy · 𣅶𧘇 lúc ấy · 𡀯𧘇 chuyện ấy","[異] 意

    U+27607",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
99,BA,巴,巴戟 ba kích,U+5DF4,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
100,BA,芭,芭蕉 ba tiêu,U+82AD,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
101,ba,𠀧,"𠀧𱑕
  ba mươi · 次𠀧 thứ ba · 𠀧沛 ba phải · 𠄼𠀧 dăm ba
  · 𠀧被 ba bị",U+20027,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
102,ba,爸,爸媽 ba má,U+7238,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
103,BA,波,"風波 phong ba · 奔波
  bôn ba · 微波 vi ba · 波蘭 Ba Lan · 波花 ba hoa [摱]","[翻]

    U+6CE2",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
104,ba,耙,釘耙 đinh ba,U+8019,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
105,ba,蚆,"𡥵蚆蚆 con
  ba ba",U+8686,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
106,bá,把,"把𦠘 bá
  vai",U+628A,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
107,BÁ,伯,"伯父 bá phụ · 師伯
  sư bá · 伯爵 bá tước · 河伯 hà bá",U+4F2F,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
108,BÁ,播,"傳播 truyền
  bá",U+64AD,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
109,bá,噃,嗏噃 chà bá [嘆],U+5643,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
110,BÁ,霸,"稱雄稱霸 xưng hùng
  xưng bá · 霸主 bá chủ · 霸王 bá vương",U+9738,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
111,BÀ,杷,枇杷 tì bà,U+6777,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
112,BÀ,婆,"婆外 bà ngoại · 翁婆
  ông bà · 婆𫅷 bà già · 𠄩婆徵 Hai Bà Trưng · 襖婆𠀧 áo bà ba",U+5A46,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
113,BÀ,琶,琵琶 tì bà,U+7436,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
114,bã,粑,"𣷯粑 cặn
  bã · 粑𨢇 bã rượu",U+7C91,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
115,bả,把,"倴把 bươn bả ·
  把𦠘 bả vai · 𠬠把穭 một bả lúa",U+628A,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
116,bả,𩚥,"𩚥𤝞
  bả chuột · 打𩚥 đánh bả",U+296A5,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
117,bạ,𢗌,"𫌶𢗌
  bậy bạ",U+225CC,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
118,BẠ,簿,名簿 danh bạ,U+7C3F,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
119,bác,伯,"注伯 chú bác · 伯胡
  Bác Hồ · 伯𡛔 bác gái","[異] 博

    U+4F2F",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
120,BÁC,博,"博士 bác sĩ · 博學
  bác học · 博愛 bác ái","[翻]

    U+535A",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
121,BÁC,搏,搏鬥 bác đấu,U+640F,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
122,BÁC,駁,"反駁 phản bác · 駁案
  bác án · 駁𠬃 bác bỏ",U+99C1,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
123,bác,煿,"煿𱑛 bác
  trứng",U+717F,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
124,bác,礮,大礮 đại bác,U+792E,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
125,bấc,北,"𩙍北 gió
  bấc",U+5317,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
126,bấc,苝,"𣘃苝 cây
  bấc · 𥾘苝 sợi bấc · 珥如苝 nhẹ như bấc · 㗂苝㗂鈘 tiếng bấc tiếng chì",U+82DD,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
127,BẮC,北,"方北 phương bắc ·
  東北 đông bắc · 北愛縺 Bắc Ai-len",U+5317,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
128,bắc,𢫣,"𢫣橋 bắc
  cầu",U+22AE3,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
129,bạc,博,"打博 đánh bạc ·
  𡥵博 con bạc · 牌博 bài bạc · 𠴞博 bàn bạc","[翻]

    U+535A",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
130,bạc,鉑,"錢鉑 tiền bạc · 鐄鉑
  vàng bạc · 頭鉑 đầu bạc",U+9251,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
131,BẠC,薄,"負薄 phụ bạc · 背薄
  bội bạc · 薄𤾷 bạc phếch · 薄殍 bạc bẽo [𠸨]",U+8584,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
132,BẠC,礴,磅礴 bàng bạc,U+7934,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
133,bậc,堛,"級堛 cấp bậc · 越堛
  vượt bậc · 𠬠堛聖人 một bậc thánh nhân","[翻]

    U+581B",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
134,BÁCH,百,"百合 bách hợp · 百科
  bách khoa · 百貨 bách hoá · 百姓 bách tính",U+767E,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
135,BÁCH,迫,"急迫 cấp bách · 逼迫
  bức bách · 窘迫 quẫn bách · 滌迫 sạch bách [𠸨]",U+8FEB,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
136,BÁCH,柏,"松柏 tùng bách ·
  柏傘 bách tán",U+67CF,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
137,bạch,八,"八足 bạch
  tuộc",U+516B,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
138,BẠCH,白,"白金 bạch kim · 明白
  minh bạch · 辯白 biện bạch · 剒白 tách bạch",U+767D,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
139,bạch,㕷,"𤃝㕷 lạch
  bạch [聲] · 㕷㕷 bạch bạch [聲] · 𢯞比㕷 vỗ bì bạch [聲]",U+3577,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
140,bai,𢴾,"吱𢴾 chê
  bai · 𢯏𢴾 bẻ bai",U+22D3E,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
141,BÁI,沛,安沛 Yên Bái,U+6C9B,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
142,BÁI,拜,"崇拜 sùng bái · 拜別
  bái biệt","[翻]

    U+62DC",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
143,BÀI,俳,俳句 bài cú,U+4FF3,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
144,bài,排,"排習 bài tập · 排詩
  bài thơ",U+6392,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
145,BÀI,排,"安排 an bài · 排除
  bài trừ · 排兵布陣 bài binh bố trận",U+6392,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
146,BÀI,牌,"金牌 kim bài · 牌位
  bài vị · 牌博 bài bạc",U+724C,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
147,BÃI,罷（罢）,"罷工 bãi công · 罷兵
  bãi binh",U+7F77 (U+7F62),https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
148,bãi,𡓁（𪤄）,"𡓁𡋥
  bãi cát · 𡓁㴜 bãi biển","U+214C1
  (U+2A904)",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
149,BẠI,敗,"打敗 đánh bại · 敗露
  bại lộ · 𥟹敗 lụi bại · 勝敗 thắng bại · 敗將 bại tướng · 腐敗 hủ bại",U+6557,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
150,bám,𢵉,"咹𢵉 ăn
  bám","[翻]

    U+22D49",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
151,băm,𨥧,"𨥧捕 băm
  bổ · 𨥧𬚸 băm thịt · 𨥧釩 băm vằm · 郎𨥧 lang băm",U+28967,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
152,bấm,𢶸,"𢶸至 bấm
  chí · 𢶸䏾 bấm bụng",U+22DB8,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
153,bầm,𦡣,"𦻳𦡣
  tím bầm · 𦡣𣎖 bầm giập",U+26863,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
154,bầm,𫲃󠄁,"𫲃󠄁𫥨𬏇𥝽𫲃󠄁憞
  bầm ra ruộng cấy bầm run",U+2BC83 U+E0101,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
155,bẫm,偘,"脯偘 bụ bẫm ·
  朱𤛠咹偘 cho trâu ăn bẫm · 𫼻得𦁺偘 vớ được món bẫm",U+5058,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
156,BẨM,稟,"稟報 bẩm báo · 賦稟
  phú bẩm · 𡀫稟 lẩm bẩm [𠸨]","[翻]

    U+7A1F",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
157,bặm,𠹰,"𠹰腜 bặm
  môi · 𡏧𠹰 bụi bặm [𠸨] · 𠹰𥉲 bặm trợn",U+20E70,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
158,BAN,班,"班𣎀 ban
  đêm · 班曥 ban trưa · 班頭 ban đầu · 班編輯 ban biên tập","[翻]

    U+73ED",https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
159,BAN,𦶾,"花𦶾 hoa
  ban · 𦶾西北 Ban Tây Bắc",U+26DBE,https://www.hannom-rcv.org/standard-nom/Lookup-CHNC.html?uiLang=vi
